id,competencia,fecha,tipo_registro,estatus,tipo_victima,sexo,materia
1,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
2,Federal,2016-01-22,Fud,Folio Asignado,Directa,Hombre,Delito
3,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
4,Federal,2016-01-22,Fud,Folio Asignado,Directa,Mujer,Delito
5,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
6,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
7,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
8,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Hombre,Delito
9,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
10,Federal,2016-01-05,Fud,Folio Asignado,Directa,Mujer,Delito
11,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Hombre,Delito
12,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
13,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
14,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
15,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Hombre,Delito
16,Federal,2016-01-22,Fud,Folio Asignado,Directa,Hombre,Delito
17,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
18,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
19,Federal,2016-06-27,Fud,Folio Asignado,Indirecta,Hombre,Delito
20,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Delito
21,Federal,2015-08-20,Fud,Folio Asignado,Directa,Hombre,Delito
22,Federal,2016-02-22,Fud,Folio Asignado,Directa,Hombre,Delito
23,Federal,2015-08-20,Fud,Folio Asignado,Directa,Hombre,Delito
24,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Delito
25,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Delito
26,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Delito
27,Federal,2015-07-29,Fud,Folio Asignado,Indirecta,Mujer,Delito
28,Federal,2015-07-29,Fud,Folio Asignado,Indirecta,Mujer,Ambas
29,Federal,2015-07-29,Fud,Folio Asignado,Indirecta,Hombre,Ambas
30,Federal,2015-07-29,Fud,Folio Asignado,Directa,Hombre,Ambas
31,Federal,2015-08-24,Fud,Folio Asignado,Indirecta,Mujer,Delito
32,Federal,2015-08-24,Fud,Folio Asignado,Directa,Mujer,Delito
33,Federal,2015-08-24,Fud,Folio Asignado,Directa,Mujer,Delito
34,Federal,2015-08-24,Fud,Folio Asignado,Indirecta,Hombre,Delito
35,Federal,2015-08-24,Fud,Folio Asignado,Indirecta,Mujer,Delito
36,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
37,Federal,2016-06-21,Fud,Folio Asignado,Directa,Hombre,Violaciones
38,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
39,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
40,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
41,Federal,2016-06-21,Fud,Folio Asignado,Directa,Mujer,Violaciones
42,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
43,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
44,Federal,2016-06-21,Fud,Folio Asignado,Directa,Mujer,Violaciones
45,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
46,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
47,Federal,2016-06-21,Fud,Folio Asignado,Directa,Hombre,Violaciones
48,Federal,2016-08-30,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
49,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
50,Federal,2016-06-21,Fud,Folio Asignado,Directa,Mujer,Violaciones
51,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
52,Federal,2016-06-21,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
53,Federal,2016-06-21,Fud,Folio Asignado,Directa,Mujer,Violaciones
54,Federal,2016-07-12,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
55,Federal,2016-07-12,Fud,Folio Asignado,Directa,Mujer,Violaciones
56,Federal,2016-07-12,Fud,Folio Asignado,Indirecta,Hombre,Violaciones
57,Federal,2015-10-30,Fud,Folio Asignado,Directa,Hombre,Delito
58,Federal,2015-11-27,Fud,Folio Asignado,Directa,Mujer,Delito
59,Federal,2015-11-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
60,Federal,2015-11-27,Fud,Folio Asignado,Indirecta,Mujer,Delito
61,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
62,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
63,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
64,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
65,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Hombre,Ambas
66,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Hombre,Ambas
67,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
68,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Mujer,Ambas
69,Federal,2015-08-20,Fud,Folio Asignado,Indirecta,Hombre,Ambas
70,Federal,2016-06-02,Fud,Folio Asignado,Indirecta,Hombre,Delito
71,Federal,2019-06-12,Fud,Folio Asignado,Indirecta,Mujer,Ambas
72,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
73,Federal,2016-05-11,Fud,Folio Asignado,Directa,Hombre,Delito
74,Federal,2016-05-11,Fud,Folio Asignado,Indirecta,Mujer,Delito
75,Federal,2017-01-19,Fud,Folio Asignado,Indirecta,Mujer,Delito
76,Federal,2015-10-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
77,Federal,2015-10-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
78,Federal,2016-06-02,Fud,Folio Asignado,Indirecta,Mujer,Delito
79,Federal,2016-06-02,Fud,Folio Asignado,Directa,Hombre,Delito
80,Federal,2016-06-02,Fud,Folio Asignado,Directa,Hombre,Delito
81,Federal,2016-06-02,Fud,Folio Asignado,Indirecta,Mujer,Delito
82,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Mujer,Delito
83,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Hombre,Delito
84,Federal,2016-04-22,Fud,Folio Asignado,Directa,Mujer,Delito
85,Federal,2016-04-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
86,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
87,Federal,2016-06-29,Fud,Folio Asignado,Indirecta,Mujer,Delito
88,Federal,2016-06-02,Fud,Folio Asignado,Directa,Hombre,Delito
89,Federal,2016-08-26,Fud,Folio Asignado,Directa,Hombre,Delito
90,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
91,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Ambas
92,Federal,2015-09-17,Fud,Folio Asignado,Directa,Hombre,Delito
93,Federal,2015-09-17,Fud,Folio Asignado,Directa,Hombre,Delito
94,Federal,2015-09-17,Fud,Folio Asignado,Indirecta,Hombre,Delito
95,Federal,2017-07-24,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
96,Federal,2016-02-09,Fud,Folio Asignado,Indirecta,Mujer,Ambas
97,Federal,2017-07-24,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
